1E-05 1,25E-11 2,5E-06
0,0306416623110679 0,000117312878704851 0,00765650182236565
0,0314607512938647 0,000123668008738184 0,00786110219783439
0,0322974404541367 0,00013033271827876 0,00807009347155579
0,0331520167548993 0,000137320414543729 0,00828354682077869
0,0340247704111346 0,000144645013872144 0,00850153420022226
0,034915994914443 0,000152320958403663 0,00872412834612082
0,0358259870580336 0,000160363233221083 0,0089514027802376
0,0367550469620653 0,000168787383967617 0,00918343181384465
0,0377034780993573 0,000177609534950116 0,00942029055166738
0,0386715873214827 0,000186846407739625 0,00966205489579119
0,0396596848852636 0,000196515340280967 0,00990880154952791
0,0406680844796849 0,000206634306523259 0,0101606080212398
0,0416971032532452 0,000217221936583564 0,0104175526281181
0,0427470618417626 0,000228297537456112 0,0106797144999141
0,0438182843966574 0,00023988111427985 0,0109471735826189
0,0449110986137317 0,000251993392177352 0,0112200106420903
0,0460258357624665 0,000264655838678375 0,0114983072676223
0,0471628307158612 0,000277890686741729 0,0117821458754556
0,0483224219808355 0,000291720958389364 0,0120716097122233
0,0495049517292207 0,00030617048896694 0,0123667828583311
0,0507107658293673 0,000321263952045533 0,0126677502312666
0,0519402138783887 0,000337026884979286 0,0129745975888331
0,0531936492350778 0,000353485715134463 0,0132874115323064
0,0544714290535193 0,000370667786805464 0,0136062795095081
0,0557739143174281 0,000388601388833843 0,0139312898177918
0,0571014698752451 0,000407315782946792 0,0142625316069368
0,0584544644760267 0,000426841232831951 0,0146000948819467
0,0598332708061555 0,000447209033965727 0,0149440705057444
0,0612382655269131 0,000468451544212897 0,0152945502017616
0,0626698293129464 0,000490602215215554 0,0156516265564145
0,0641283468916712 0,000513695624590069 0,0160153930214623
0,065614207083646 0,00053776750895109 0,0163859439162394
0,0671278028439651 0,000562854797782235 0,0167633744297593
0,0686695313047067 0,00058899564817351 0,017147780622679
0,0702397938184845 0,000616229480446119 0,0175392594291201
0,0718389960031482 0,000644597014685859 0,0179379086583379
0,0734675477876843 0,000674140308206926 0,0183438269962321
0,0751258634593615 0,000704902793968391 0,0187571140066897
0,0768143617121796 0,000736929319966473 0,0191778701327535
0,0785334656966704 0,000770266189626133 0,0196061966976062
0,0802836030711151 0,000804961203216462 0,0200421959053623
0,0820652060542273 0,000841063700314691 0,0204859708416568
0,0838787114793735 0,000878624603344801 0,0209376254740235
0,085724560850386 0,000917696462217021 0,021397264652049
0,0876032003990422 0,000958333500095705 0,0218649941072958
0,0895150811442737 0,00100059166032359 0,0223409204529793
