101 	 -0,25 	 2
103 	 -0,3 	 2
102,664766476648 0,0181462069607819
102,670567056706 0,0181552244496477
102,676367636764 0,0181642486573495
102,682168216822 0,0181732795905593
102,68796879688 0,0181823172559573
102,693769376938 0,0181913616602322
102,699569956996 0,0182004128100808
102,705370537054 0,0182094707122084
102,711171117112 0,0182185353733285
102,71697169717 0,018227606800163
102,722772277228 0,0182366849994421
102,728572857286 0,0182457699779045
102,734373437344 0,0182548617422971
102,740174017402 0,0182639602993752
102,74597459746 0,0182730656559028
102,751775177518 0,0182821778186518
102,757575757576 0,018291296794403
102,763376337634 0,0183004225899454
102,769176917692 0,0183095552120766
102,77497749775 0,0183186946676024
102,780778077808 0,0183278409633373
102,786578657866 0,0183369941061044
102,792379237924 0,0183461541027349
102,798179817982 0,018355320960069
102,80398039804 0,018364494684955
102,809780978098 0,01837367528425
102,815581558156 0,0183828627648196
102,821382138214 0,018392057133538
102,827182718272 0,0184012583972878
102,83298329833 0,0184104665629605
102,838783878388 0,0184196816374559
102,844584458446 0,0184289036276826
102,850385038504 0,0184381325405577
102,856185618562 0,0184473683830072
102,86198619862 0,0184566111619655
102,867786778678 0,0184658608843757
102,873587358736 0,0184751175571897
102,879387938794 0,018484381187368
102,885188518852 0,0184936517818798
102,89098909891 0,0185029293477032
102,896789678968 0,0185122138918248
102,902590259026 0,0185215054212401
102,908390839084 0,0185308039429533
102,914191419142 0,0185401094639774
102,9199919992 0,0185494219913342
102,925792579258 0,0185587415320542
102,931593159316 0,0185680680931769
102,937393739374 0,0185774016817504
102,943194319432 0,0185867423048318
102,94899489949 0,0185960899694871
102,954795479548 0,018605444682791
102,960596059606 0,0186148064518272
102,966396639664 0,0186241752836883
102,972197219722 0,0186335511854757
102,97799779978 0,0186429341642998
102,983798379838 0,01865232422728
102,989598959896 0,0186617213815445
102,995399539954 0,0186711256342306
103,001200120012 0,0186805369924844
103,00700070007 0,0186899554634612
103,012801280128 0,0186993810543252
103,018601860186 0,0187088137722496
103,024402440244 0,0187182536244166
103,030203020302 0,0187277006180175
103,03600360036 0,0187371547602528
103,041804180418 0,0187466160583317
103,047604760476 0,0187560845194729
103,053405340534 0,0187655601509039
103,059205920592 0,0187750429598614
103,06500650065 0,0187845329535913
103,070807080708 0,0187940301393486
103,076607660766 0,0188035345243973
103,082408240824 0,0188130461160108
103,088208820882 0,0188225649214716
103,09400940094 0,0188320909480714
103,099809980998 0,0188416242031109
103,105610561056 0,0188511646939005
103,111411141114 0,0188607124277592
103,117211721172 0,0188702674120159
103,12301230123 0,0188798296540083
103,128812881288 0,0188893991610836
103,134613461346 0,0188989759405982
103,140414041404 0,0189085599999178
103,146214621462 0,0189181513464176
103,15201520152 0,0189277499874819
103,157815781578 0,0189373559305044
103,163616361636 0,0189469691828882
103,169416941694 0,0189565897520459
103,175217521752 0,0189662176453994
103,18101810181 0,0189758528703798
103,186818681868 0,018985495434428
103,192619261926 0,018995145344994
103,198419841984 0,0190048026095374
103,204220422042 0,0190144672355274
103,2100210021 0,0190241392304424
103,215821582158 0,0190338186017704
103,221622162216 0,019043505357009
103,227422742274 0,0190531995036653
103,233223322332 0,0190629010492558
103,23902390239 0,0190726100013066
103,244824482448 0,0190823263673536
103,250625062506 0,0190920501549418
103,256425642564 0,0191017813716264
103,262226222622 0,0191115200249716
103,26802680268 0,0191212661225517
103,273827382738 0,0191310196719503
103,279627962796 0,019140780680761
103,285428542854 0,0191505491565867
103,291229122912 0,0191603251070402
103,29702970297 0,019170108539744
103,302830283028 0,0191798994623301
103,308630863086 0,0191896978824406
103,314431443144 0,0191995038077271
103,320232023202 0,0192093172458508
103,32603260326 0,019219138204483
103,331833183318 0,0192289666913047
103,337633763376 0,0192388027140065
103,343434343434 0,0192486462802891
103,349234923492 0,0192584973978628
103,35503550355 0,0192683560744479
